Day,Date,Close/Last,Volume,Open,High,Low
0,02/25/2020,196.77,21433490,202.25,203.50,195.95
1,02/26/2020,197.20,16555210,197.19,201.21,195.49
2,02/27/2020,189.75,21682630,191.82,195.88,189.50
3,02/28/2020,192.47,32583490,182.70,192.74,181.82
4,03/02/2020,196.44,24948960,194.03,196.57,188.85
5,03/03/2020,185.89,27984100,196.22,197.24,183.97
6,03/04/2020,191.76,23062470,189.17,191.83,186.39
7,03/05/2020,185.17,19333430,186.78,188.99,183.89
8,03/06/2020,181.09,24559550,178.33,183.78,176.26
9,03/09/2020,169.50,29949040,169.60,175.00,165.19
10,03/10/2020,178.19,24517790,174.67,178.29,169.50
11,03/11/2020,170.24,20397200,174.01,175.88,167.66
12,03/12/2020,154.47,43266340,159.54,166.60,154.34
13,03/13/2020,170.28,35028630,163.53,170.79,157.60
14,03/16/2020,146.01,39120420,152.32,159.13,143.10
15,03/17/2020,149.42,34255600,150.74,153.94,140.00
16,03/18/2020,146.96,37553140,139.75,148.18,137.10
17,03/19/2020,153.13,39862310,146.62,159.93,144.80
18,03/20/2020,149.73,32568400,156.02,159.27,148.00
19,03/23/2020,148.10,29830770,149.66,152.31,142.25
20,03/24/2020,160.98,30440370,155.21,161.31,152.57
21,03/25/2020,156.21,35184270,158.92,162.99,153.06
22,03/26/2020,163.34,26579020,158.25,164.00,157.02
23,03/27/2020,156.79,24879870,158.20,160.09,154.75
24,03/30/2020,165.95,22515230,159.18,166.75,158.06
25,03/31/2020,166.80,23676280,165.48,170.93,164.20
26,04/01/2020,159.60,19507560,161.62,164.15,158.04
27,04/02/2020,158.19,20886310,159.10,161.35,155.92
28,04/03/2020,154.18,25983320,157.15,157.91,150.83
29,04/06/2020,165.55,28453580,160.15,166.20,158.51
30,04/07/2020,168.83,31411920,171.79,173.39,166.01
31,04/08/2020,174.28,21664200,171.25,175.00,167.74
32,04/09/2020,175.19,23534290,175.90,177.08,171.57
33,04/13/2020,174.79,19355360,173.67,175.00,169.45
34,04/14/2020,178.17,21011820,178.98,181.23,176.62
35,04/15/2020,176.97,17423000,175.19,178.19,172.82
36,04/16/2020,176.25,23593230,177.95,178.05,172.51
37,04/17/2020,179.24,20974750,179.20,180.28,176.66
38,04/20/2020,178.24,16110580,177.41,180.50,176.77
39,04/21/2020,170.80,24850530,175.25,175.38,168.34
40,04/22/2020,182.28,33369930,178.45,184.78,178.14
41,04/23/2020,185.13,21426600,184.08,187.05,183.15
42,04/24/2020,190.07,28868530,183.23,190.41,180.83
43,04/27/2020,187.50,29197750,192.66,193.75,187.41
44,04/28/2020,182.91,21730990,188.66,189.20,182.56
45,04/29/2020,194.19,45954520,190.93,196.91,190.00
46,04/30/2020,204.71,46230120,206.92,209.69,201.57
47,05/01/2020,202.27,30415580,201.60,207.28,199.05
48,05/04/2020,205.26,19250670,200.20,205.91,198.76
49,05/05/2020,207.07,21071220,207.02,210.38,206.50
50,05/06/2020,208.47,21856960,208.12,211.60,206.66
51,05/07/2020,211.26,15151980,211.16,211.60,209.04
52,05/08/2020,212.35,12524050,212.24,213.21,210.85
53,05/11/2020,213.18,12911950,210.89,215.00,210.37
54,05/12/2020,210.10,14704650,213.29,215.28,210.00
55,05/13/2020,205.10,20684560,209.43,210.78,202.11
56,05/14/2020,206.81,17178950,202.56,206.93,200.69
57,05/15/2020,210.88,19383150,205.27,211.34,204.12
58,05/18/2020,213.19,20167440,212.15,214.64,210.94
59,05/19/2020,216.88,31843150,213.27,220.49,212.83
60,05/20/2020,229.97,50162880,223.50,231.34,223.19
61,05/21/2020,231.39,47782640,234.72,237.20,231.20
62,05/22/2020,234.91,33925560,231.51,235.99,228.74
63,05/26/2020,232.20,33178320,239.77,240.90,231.67
64,05/27/2020,229.14,34697550,229.07,230.56,221.13
65,05/28/2020,225.46,29423010,224.30,231.63,224.00
66,05/29/2020,225.09,23322480,225.20,227.49,222.88
67,06/01/2020,231.91,18223840,224.59,232.44,223.50
68,06/02/2020,232.72,20919020,230.94,233.00,226.56
69,06/03/2020,230.16,15380280,232.11,232.65,228.53
70,06/04/2020,226.29,17041480,229.56,231.63,224.61
71,06/05/2020,230.77,16750440,226.71,231.35,225.31
72,06/08/2020,231.40,15466500,229.03,231.55,227.41
73,06/09/2020,238.67,27462870,231.52,239.77,230.41
74,06/10/2020,236.73,20720710,240.96,241.21,235.28
75,06/11/2020,224.43,26708160,229.94,232.89,223.55
76,06/12/2020,228.58,22091390,229.90,231.66,224.50
77,06/15/2020,232.50,15340260,225.09,233.77,224.80
78,06/16/2020,235.65,15236690,237.14,238.46,233.00
79,06/17/2020,235.53,19578130,235.00,237.59,231.73
80,06/18/2020,235.94,15782450,234.99,236.14,232.15
81,06/19/2020,238.79,30081290,237.79,240.83,235.55
82,06/22/2020,239.22,18917780,238.56,240.70,236.91
83,06/23/2020,242.24,24017920,241.28,245.19,239.86
84,06/24/2020,234.02,20834900,241.20,243.22,232.68
85,06/25/2020,235.68,18704340,234.62,237.30,232.74
86,06/26/2020,216.08,76343940,232.64,233.09,215.40
87,06/29/2020,220.64,58514280,209.75,220.75,207.11
88,06/30/2020,227.07,33927070,220.59,227.50,218.47
89,07/01/2020,237.55,43399740,228.50,239.00,227.56
90,07/02/2020,233.42,30633620,239.00,240.00,232.61
91,07/06/2020,240.28,26206160,233.76,240.40,232.27
92,07/07/2020,240.86,27887790,239.41,247.65,238.82
93,07/08/2020,243.58,29791340,238.11,246.99,236.59
94,07/09/2020,244.50,22174900,245.00,246.53,239.24
95,07/10/2020,245.07,22982720,243.69,245.49,239.32
